FL_DATE,DEP_DELAY,ARR_DELAY,AIR_TIME,DISTANCE,DEP_TIME,ARR_TIME
2006-01-01,5,19,350,2475,9.083333,12.483334
2006-01-02,167,216,343,2475,11.783334,15.766666
2006-01-03,-7,-2,344,2475,8.883333,12.133333
2006-01-04,-5,-13,331,2475,8.916667,11.95
2006-01-05,-3,-17,321,2475,8.95,11.883333
2006-01-06,-4,-32,320,2475,8.933333,11.633333
2006-01-08,-3,-2,346,2475,8.95,12.133333
2006-01-09,3,0,334,2475,9.05,12.166667
2006-01-10,-7,-21,334,2475,8.883333,11.816667
2006-01-11,8,-10,321,2475,9.133333,12
2006-01-12,-5,-27,321,2475,8.916667,11.716666
2006-01-13,-7,-6,327,2475,8.883333,12.066667
2006-01-15,47,73,333,2475,9.783334,13.383333
2006-01-16,-4,-14,329,2475,8.933333,11.933333
2006-01-17,-4,-11,337,2475,8.933333,11.983334
2006-01-18,-1,4,342,2475,8.983334,12.233334
2006-01-19,-2,2,343,2475,8.966666,12.2
2006-01-20,-3,-8,343,2475,8.95,12.033334
2006-01-22,-8,-9,342,2475,8.866667,12.016666
2006-01-23,-4,-1,338,2475,8.933333,12.15
2006-01-24,-4,-13,329,2475,8.933333,11.95
2006-01-25,-1,-15,328,2475,8.983334,11.916667
2006-01-26,-9,-27,322,2475,8.85,11.716666
2006-01-27,30,16,322,2475,9.5,12.433333
2006-01-29,14,-15,317,2475,9.233334,11.916667
2006-01-30,-7,-11,330,2475,8.883333,11.983334
2006-01-31,-4,-8,344,2475,8.933333,12.033334
2006-01-01,3,3,281,2475,9.55,17.8
2006-01-02,19,59,280,2475,9.816667,18.733334
2006-01-03,0,1,269,2475,9.5,17.766666
2006-01-04,9,-14,272,2475,9.65,17.516666
2006-01-05,4,35,295,2475,9.566667,18.333334
2006-01-06,20,5,283,2475,9.833333,17.833334
2006-01-07,-1,-20,275,2475,9.483334,17.416666
2006-01-08,1,-21,274,2475,9.516666,17.4
2006-01-09,143,127,276,2475,11.883333,19.866667
2006-01-10,-7,-21,278,2475,9.383333,17.4
2006-01-11,2,23,303,2475,9.533334,18.133333
2006-01-12,-5,-3,292,2475,9.416667,17.7
2006-01-13,39,57,298,2475,10.15,18.7
2006-01-14,2,-11,283,2475,9.533334,17.566668
2006-01-15,-2,-24,270,2475,9.466666,17.35
2006-01-16,3,-27,262,2475,9.55,17.3
2006-01-17,-2,-17,280,2475,9.466666,17.466667
2006-01-18,69,44,270,2475,10.65,18.483334
2006-01-19,36,30,274,2475,10.1,18.25
2006-01-20,11,-32,255,2475,9.683333,17.216667
2006-01-21,2,-20,264,2475,9.533334,17.416666
2006-01-22,-2,-18,276,2475,9.466666,17.45
2006-01-23,-3,-17,279,2475,9.45,17.466667
2006-01-24,-3,0,292,2475,9.45,17.75
